tailid;geocode
25304;0428
25305;1835
25306;0122
25308;0800
25311;1121
25312;0301
24631;1106
24636;0821
24639;0124
24649;1804
24539;1505
24540;0622
24542;1238
24543;1037
32598;0100
24545;0829
24546;1144
24547;1911
24549;1940
24551;0728
24552;0709
24553;1920
24554;2022
24555;1419
32588;2000
24558;1001
24559;1822
24560;1755
24561;1718
24563;0512
32592;0400
32585;1500
36984;0301
37002;1800
37002;1900
23816;0604
32595;1100
38762;1500
23821;1535
23822;0704
32587;1900
21519;1845
23825;0701
21781;0628
42644;0704
23834;0627
23835;1416
20709;0541
20709;0542
20709;0540
23842;1235
20709;0545
20709;0544
20709;0543
23847;1201
22660;1820
22661;1871
22662;1854
22663;1839
22665;1742
22666;1743
22667;1729
22668;1755
22670;1719
22544;1902
42383;0621
42402;1002
22548;0231
22549;0403
22550;0502
22551;0513
22552;0602
42402;1029
22554;0704
22555;0716
22556;0301
22558;1931
22561;1903
22562;2003
22563;2002
22564;2100
22565;0301
22566;1201
42402;1021
22569;1942
22570;1923
22571;1941
22572;1913
22573;1939
22574;1925
22575;1928
25313;1560
25314;0826
25315;1852
25316;0723
25317;0833
25318;0001
25319;0436
25321;1928
25322;2030
25323;2030
25324;0001
25325;2025
25326;0001
25328;0001
25330;1927
25331;1900
25333;1902
25215;0301
25216;1519
25217;1235
25218;1259
25219;0544
25220;1630
25221;1504
42402;1027
25225;1724
42402;1026
25227;1000
25230;0211
25231;2004
24565;0626
24566;1738
24570;1263
24571;0514
24572;2014
24573;1112
24574;1818
24575;1515
24576;1617
24580;0714
24581;0620
24582;0612
24584;1644
24586;0239
24587;0628
24588;0111
24589;1413
24590;1034
24592;1743
21826;0136
24595;1729
24596;0935
24597;0532
24598;1227
24599;1431
24600;2021
24601;1936
24603;1832
24604;0618
24605;1149
24742;0533
23739;1563
43362;0125
20749;0434
43402;0124
43403;0106
23748;1653
23750;1648
43404;0101
23753;1621
23754;1612
43405;0104
43422;0105
43423;0704
43423;0722
43423;0723
43424;0720
43424;0701
43424;0719
43425;0728
23773;1135
43425;0709
23777;1525
43425;0706
22576;1927
22577;1902
22578;2003
22580;2012
22581;2024
22582;2028
22583;2023
22584;2004
22585;2015
22586;2021
22587;2011
22589;2022
22590;2014
22591;2018
22592;2027
22594;2020
22595;1931
22596;1938
22597;1924
22598;2030
22600;1852
22601;1835
22602;1850
22604;1815
22605;1860
22484;0301
22485;0301
22486;0301
22488;0301
22489;0301
22491;0301
22492;0301
22493;0301
22494;0301
22496;0301
22497;0301
22498;0001
25232;0700
25234;1535
25235;0502
25236;0543
25237;0529
25238;1860
25239;0301
25240;1816
25241;1417
25242;1750
25243;0231
25244;1160
25245;0834
43426;0702
43426;0714
25250;0912
25251;1014
25252;0301
25253;1721
25254;1511
25255;2002
25257;1824
25258;1815
25166;0301
25174;0906
25175;1106
43426;0713
43426;0711
43426;0716
43427;0534
43428;0502
43428;0540
43428;0529
25187;0805
24478;1524
24479;2019
43428;0528
24481;1942
24483;0937
24485;1841
24490;1429
24491;1246
24496;1401
24499;0616
24500;0236
24502;0216
43428;0532
24504;1422
43429;0501
24506;0230
24507;0415
24508;1663
24509;1002
24510;0119
24512;1266
24513;1256
24514;1636
24516;1837
24517;1711
24521;0623
24522;1502
24523;1874
43429;0522
43429;0513
23783;1001
23789;0901
23791;0926
43429;0514
43429;0512
43429;0511
23676;0423
23677;0415
23678;0124
23679;0111
23680;0135
43429;0515
23682;0432
23683;0430
43429;0517
43429;0516
23688;2004
23689;2012
