prosjekt;prosjekt_tekst;teneste;teneste_tekst;konto;konto_tekst;rekneskap_2011;budsjett_2012;budsjett_2013
1001;Kjøp av grunn;31500;Bustadbyggjing og fysiske bumiljøtiltak;1954;Gebyr;45998;0;0
1001;Kjøp av grunn;31500;Bustadbyggjing og fysiske bumiljøtiltak;2800;Grunnerverv;8750;0;0
1001;Kjøp av grunn;33400;Kommunale vegar, miljø- og trafikktryggleikstiltak;1954;Gebyr;14843;0;0
1001;Kjøp av grunn;33400;Kommunale vegar, miljø- og trafikktryggleikstiltak;2800;Grunnerverv;45000;0;0
1001;Kjøp av grunn;33400;Kommunale vegar, miljø- og trafikktryggleikstiltak;7301;Refusjon frå fylkeskommunar;-1798;0;0
1001;Kjøp av grunn;33400;Kommunale vegar, miljø- og trafikktryggleikstiltak;9800;Rekneskapsmessig meirforbruk;-112793;0;0
1001;Kjøp av grunn;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;0;112793;0
1001;Kjøp av grunn;88000;Interne finansieringstransaksjonar;9480;Bruk av ubundne investeringsfond;0;-112793;0
1002;Egenkapitalfond KLP;18000;Diverse fellesutgifter;9800;Rekneskapsmessig meirforbruk;-1034871;0;0
1002;Egenkapitalfond KLP;87000;Renter/utbytte og lån;5290;Kjøp av aksjar og andelar;1034871;0;0
1002;Egenkapitalfond KLP;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;955453;1034871;0
1002;Egenkapitalfond KLP;88000;Interne finansieringstransaksjonar;9300;Bruk av tidlegare års rekneskaps mindreforbruk;-955453;0;0
1002;Egenkapitalfond KLP;88000;Interne finansieringstransaksjonar;9400;Bruk av disposisjonsfond;0;-1034871;0
1003;Læremidlar i skulen;20220;Undervisning i grunnskulen;1957;Lisensar;32337,12;0;0
1003;Læremidlar i skulen;20220;Undervisning i grunnskulen;2000;Kjøp og finansiell leasing av driftsmidlar;1100142,6;0;0
1003;Læremidlar i skulen;20220;Undervisning i grunnskulen;4290;Merverdiavgift som gir rett til momskompensasjon;230766,9;0;0
1003;Læremidlar i skulen;20220;Undervisning i grunnskulen;9400;Bruk av disposisjonsfond;-1270939,86;0;0
1003;Læremidlar i skulen;20220;Undervisning i grunnskulen;9700;Overføringar frå driftsrekneskapet;-92306,76;0;0
1005;WEB/sak-arkiv;87000;Renter/utbytte og lån;9109;Bruk av lån - inv.rekneskapet m/spes;-75695,06;0;0
1005;WEB/sak-arkiv;88000;Interne finansieringstransaksjonar;5300;Dekning av tidl. års udekka;75695,06;0;0
1009;Bypark 2008;33500;Rekreasjon i tettstad;5500;Avsetnader til bundne fond;18642,5;0;0
1009;Bypark 2008;33500;Rekreasjon i tettstad;8300;Overføringar frå fylkeskommunar;-1900000;0;0
1009;Bypark 2008;33500;Rekreasjon i tettstad;9700;Overføringar frå driftsrekneskapet;0;0;0
1009;Bypark 2008;33510;Parkar og grøntanlegg;2302;Byggetenester;227316,2;0;0
1009;Bypark 2008;33510;Parkar og grøntanlegg;2701;Konsulenttenester;135768;0;0
1009;Bypark 2008;33510;Parkar og grøntanlegg;4290;Merverdiavgift som gir rett til momskompensasjon;90771,05;0;0
1009;Bypark 2008;33510;Parkar og grøntanlegg;5500;Avsetnader til bundne fond;18642,5;0;0
1009;Bypark 2008;33510;Parkar og grøntanlegg;8300;Overføringar frå fylkeskommunar;-1000000;0;0
1009;Bypark 2008;33510;Parkar og grøntanlegg;9109;Bruk av lån - inv.rekneskapet m/spes;2482453,17;0;0
