versjoner,sumart1,sumart1-tekst,kost2a,hovedgruppering-art,avdeling,avdeling-tekst,avgfin-ikke-avgfin,tjenesteomraade,tjenesteomraade-tekst,tjeneste,tjeneste-tekst,proplan,prosjektkategori,prosjekt,prosjekt-tekst,geografisk-bydel,geografisk-bydel-tekst,2011-fra-vedt-okonomiplan,2012,2013,2014,2015
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLAN,Prosjekter under IKT-Handlingsplanen,BUD343,Agresso investeringsmodul,90,BYDEKKENDE,"810 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLFAG,IKT-HP - Fagsystemer,100196,Anskaffe FDV-system for BKB,90,BYDEKKENDE,"2 000 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLFAG,IKT-HP - Fagsystemer,100196,Anskaffe FDV-system for BKB,90,BYDEKKENDE,"-2 000 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLINT,IKT-HP - Integrerte el.tjenester,100335,KP - Design og navigasjon,90,BYDEKKENDE,"1 150 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLINT,IKT-HP - Integrerte el.tjenester,100337,KP - Innbyggertjenester,90,BYDEKKENDE,"1 750 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLINT,IKT-HP - Integrerte el.tjenester,100338,Tjenester og integrasjoner for fagsystemer,90,BYDEKKENDE,"1 800 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLINT,IKT-HP - Integrerte el.tjenester,100339,KP - Redaksjonelle tjenester,90,BYDEKKENDE,"1 200 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLINT,IKT-HP - Integrerte el.tjenester,100340,KP - Tjenester for næringsliv og organisasjoner,90,BYDEKKENDE,"1 100 000,00",0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLFAG,IKT-HP - Fagsystemer,100353,Nytt arkiv og saksbehandlingssystem,90,BYDEKKENDE,0,0,0,0,0
11-14VB,1,Sum utgifter,100,Investeringer i anleggsmidler,2,"Byrådsavd. for finans, konkurranse og eierskap",Ikke-avg.fin.,16,Administrasjon og fellesfunksjoner,12000,Administrasjon,IKTPLINT,IKT-HP - Integrerte el.tjenester,100561,Tjeneste for tilgang til offentlige registre,90,BYDEKKENDE,"1 300 000,00",0,0,0,0
