tailid,intcode,phone,phonecomment,type
20504,+47,22 24 20 00,,Telefon
20504,+47,Ordretelefon 800 80 960,O,Telefon
20505,+47,75 00 75 00,opplysningstelefonen,Telefon
20505,+47,75 00 75 09,sentralbord,Telefon
20507,+47,22 99 45 00,,Telefon
20511,+47,23 12 00 00,,Telefon
20513,+47,22 96 55 55,Oslo,Telefon
20513,+47,73 59 30 00,Trondheim,Telefon
20518,+47,22 42 03 00,,Telefon
20521,+47,02030,,Telefon
20521,+47,915 02030,fra utlandet,Telefon
20524,+47,23 09 80 00,,Telefon
20525,+47,73 54 56 50,,Telefon
20528,+47,22 24 90 90,,Telefon
20530,+47,22 24 90 90,,Telefon
20531,+47,22 40 28 00,,Telefon
20534,+47,22 99 39 50,,Telefon
20535,+47,22 24 90 90,,Telefon
20536,+47,22 24 90 90,,Telefon
20537,+47,22 24 90 90,,Telefon
20605,+47,466 15 650,,Telefon
20606,+47,466 15 620,,Telefon
20607,+47,466 15 590,,Telefon
20608,+47,466 15 580,,Telefon
20609,+47,466 15 610,,Telefon
20610,+47,78 99 57 70,,Telefon
20632,+47,466 17 480,,Telefon
20633,+47,73 99 05 00,,Telefon
20634,+47,466 17 680,,Telefon
20636,+47,466 17 690,,Telefon
20650,+47,75 13 48 80,,Telefon
20653,+47,75 11 41 80,,Telefon
20658,+47,466 15 670,,Telefon
20663,+47,466 17 490,,Telefon
20664,+47,466 15 640,,Telefon
20666,+47,466 15 660,,Telefon
20673,+47,35 50 58 70,,Telefon
20675,+47,35 06 88 50,,Telefon
20676,+47,37 00 57 80,,Telefon
20677,+47,38 10 43 10,,Telefon
20679,+47,51 46 11 80,,Telefon
20680,+47,51 53 81 50,,Telefon
20681,+47,52 70 08 20,,Telefon
20682,+47,55 31 05 42,,Telefon
20683,+47,55 25 11 50,,Telefon
20684,+47,466 19 140,,Telefon
20685,+47,466 19 130,,Telefon
20686,+47,466 19 150,,Telefon
20700,+47,466 19 280,,Telefon
20701,+47,466 19 280,,Telefon
20702,+47,57 86 49 90,,Telefon
20707,+47,466 17 390,,Telefon
20709,+47,466 17 120,,Telefon
20711,+47,61 23 05 36,,Telefon
20716,+47,466 17 710,,Telefon
20721,+47,32 12 33 44,,Telefon
20723,+47,466 17 710,,Telefon
20724,+47,32 08 11 75,,Telefon
20727,+47,466 18 180,,Telefon
20729,+47,33 48 22 50,,Telefon
20745,+47,64 91 46 60,,Telefon
20749,+47,466 17 130,,Telefon
20752,+47,466 17 140,,Telefon
20755,+47,466 17 190,,Telefon
20762,+47,466 17 200,,Telefon
20769,+47,466 17 010,,Telefon
20783,+47,23 28 39 40,,Telefon
20785,+47,466 16 150,,Telefon
20824,+47,22 99 37 00,,Telefon
20838,+47,32 25 10 00,,Telefon
20838,+47,32 25 10 98,avdelingsleder,Telefon
20875,+47,78 97 76 00,,Telefon
20913,+47,51 33 60 00,,Telefon
20930,+47,62 56 20 11,,Telefon
20931,+47,04005,,Telefon
20956,+47,61 11 60 00,,Telefon
20956,+47,61 11 61 00,,Telefon
20976,+47,74 06 45 20,,Telefon
20989,+47,33 17 10 10,,Telefon
20997,+47,61 05 05 00,,Telefon
20998,+47,38 25 51 00,,Telefon
21105,+47,22 34 87 70,,Telefon
21112,+47,22 57 38 00,,Telefon
21156,+47,75 77 51 00,,Telefon
21158,+47,78 44 85 60,,Telefon
21159,+47,57 72 18 80,,Telefon
21159,+47,57 72 18 84,fjernlån,Telefon
21160,+47,78 96 25 00,,Telefon
21236,+47,22 46 89 65,,Telefon
21236,+47,911 77 770,,Telefon
21237,+47,90 52 93 59,17-19,Telefon
21282,+47,21 55 36 90,,Telefon
21287,+47,78 42 10 00,,Telefon
21293,+47,78 95 04 38,,Telefon
21302,+47,62 78 23 30,,Telefon
21303,+47,77 69 68 20,,Telefon
21304,+47,21 55 32 80,,Telefon
21306,+47,55 69 37 20,,Telefon
21307,+47,77 64 24 40,,Telefon
21308,+47,71 25 80 00,,Telefon
21310,+47,71 25 80 00,,Telefon
21319,+47,06 800,,Telefon
21323,+47,74 09 80 00,,Telefon
21326,+47,74 21 54 00,,Telefon
21327,+47,75 54 79 30,,Telefon
21330,+47,75 43 13 70,,Telefon
21341,+47,07766,,Telefon
21344,+47,74 19 94 70,,Telefon
21348,+47,75 21 29 90,,Telefon
21351,+47,78 97 30 00,,Telefon
21354,+47,57 02 28 80,,Telefon
21359,+47,57 88 59 80,,Telefon
21363,+47,71 25 80 00,,Telefon
21366,+47,0 52 53,,Telefon
21366,+47,53 65 10 00,,Telefon
21371,+47,0 52 53,,Telefon
21374,+47,56 53 35 00,,Telefon
21375,+47,71 65 70 70,,Telefon
21376,+47,57 83 90 00,,Telefon
21382,+47,70 10 50 00,,Telefon
21385,+47,57 72 32 60,,Telefon
21410,+47,55 69 37 00,,Telefon
21414,+47,53 40 27 20,,Telefon
21417,+47,56 52 91 90,,Telefon
21418,+47,0 51 51,,Telefon
21421,+47,05300,,Telefon
21421,+47,55 97 50 00,,Telefon
21422,+47,38 17 65 50,,Telefon
21423,+47,33 34 20 00,,Telefon
21424,+47,38 32 61 80,,Telefon
21425,+47,51 29 73 00,,Telefon
21432,+47,02800,,Telefon
21432,+47,78 95 54 00,,Telefon
21433,+47,02800,,Telefon
21433,+47,78 46 99 00,,Telefon
21434,+47,02800,,Telefon
21434,+47,78 49 90 00,,Telefon
21435,+47,02800,,Telefon
21435,+47,78 95 97 60,,Telefon
21436,+47,02800,,Telefon
21436,+47,78 92 62 30,,Telefon
21437,+47,02800,,Telefon
21437,+47,78 97 20 00,,Telefon
21441,+47,21 55 33 00,,Telefon
21442,+47,06200,,Telefon
21444,+47,06200,,Telefon
21447,+47,06200,,Telefon
21448,+47,21 55 33 10,,Telefon
21449,+47,37 01 73 00,,Telefon
21458,+47,02800,,Telefon
21458,+47,78 42 80 00,,Telefon
21459,+47,02800,,Telefon
21459,+47,78 42 80 00,,Telefon
21460,+47,02800,,Telefon
21460,+47,78 42 80 00,,Telefon
21461,+47,02800,,Telefon
21461,+47,78 40 28 00,,Telefon
21462,+47,02800,,Telefon
21462,+47,78 42 80 00,,Telefon
21463,+47,02800,,Telefon
21463,+47,78 98 93 00,,Telefon
21464,+47,02800,,Telefon
21464,+47,78 98 56 80,,Telefon
21466,+47,02800,,Telefon
21466,+47,77 04 36 00,,Telefon
21467,+47,02800,,Telefon
21467,+47,77 04 36 00,,Telefon
21468,+47,02800,,Telefon
21468,+47,77 04 36 00,,Telefon
